,Code_AL,ID_AL,Code_SA,ID_SA,Code_DA,ID_DA,Codeshare,Stops,Code_PT
0,AL242,AL242,AER,2965,KZN,2990,,0,CR2
1,AL242,AL242,ASF,2966,KZN,2990,,0,CR2
2,AL242,AL242,ASF,2966,MRV,2962,,0,CR2
3,AL242,AL242,CEK,2968,KZN,2990,,0,CR2
4,AL242,AL242,CEK,2968,OVB,4078,,0,CR2
5,AL242,AL242,DME,4029,KZN,2990,,0,CR2
6,AL242,AL242,DME,4029,NBC,6969,,0,CR2
8,AL242,AL242,DME,4029,UUA,6160,,0,CR2
9,AL242,AL242,EGO,6156,KGD,2952,,0,CR2
10,AL242,AL242,EGO,6156,KZN,2990,,0,CR2
11,AL242,AL242,GYD,2922,NBC,6969,,0,CR2
12,AL242,AL242,KGD,2952,EGO,6156,,0,CR2
13,AL242,AL242,KZN,2990,AER,2965,,0,CR2
14,AL242,AL242,KZN,2990,ASF,2966,,0,CR2
15,AL242,AL242,KZN,2990,CEK,2968,,0,CR2
16,AL242,AL242,KZN,2990,DME,4029,,0,CR2
17,AL242,AL242,KZN,2990,EGO,6156,,0,CR2
18,AL242,AL242,KZN,2990,LED,2948,,0,CR2
19,AL242,AL242,KZN,2990,SVX,2975,,0,CR2
20,AL242,AL242,LED,2948,KZN,2990,,0,CR2
21,AL242,AL242,LED,2948,NBC,6969,,0,CR2
22,AL242,AL242,LED,2948,UUA,6160,,0,CR2
23,AL242,AL242,MRV,2962,ASF,2966,,0,CR2
24,AL242,AL242,NBC,6969,DME,4029,,0,CR2
25,AL242,AL242,NBC,6969,GYD,2922,,0,CR2
26,AL242,AL242,NBC,6969,LED,2948,,0,CR2
27,AL242,AL242,NBC,6969,SVX,2975,,0,CR2
28,AL242,AL242,NJC,2972,SVX,2975,,0,CR2
29,AL242,AL242,NJC,2972,UUA,6160,,0,CR2
30,AL242,AL242,NUX,4364,SVX,2975,,0,CR2
31,AL242,AL242,OVB,4078,CEK,2968,,0,CR2
32,AL242,AL242,OVB,4078,SVX,2975,,0,CR2
33,AL242,AL242,SVX,2975,KZN,2990,,0,CR2
34,AL242,AL242,SVX,2975,NBC,6969,,0,CR2
35,AL242,AL242,SVX,2975,NJC,2972,,0,CR2
36,AL242,AL242,SVX,2975,NUX,4364,,0,CR2
37,AL242,AL242,SVX,2975,OVB,4078,,0,CR2
39,AL242,AL242,UUA,6160,DME,4029,,0,CR2
40,AL242,AL242,UUA,6160,LED,2948,,0,CR2
41,AL242,AL242,UUA,6160,NJC,2972,,0,CR2
42,AL361,AL361,BTK,2936,IKT,2937,,0,A81
43,AL361,AL361,BTK,2936,OVB,4078,,0,A81
44,AL361,AL361,CEK,2968,OVB,4078,,0,A81
45,AL361,AL361,HTA,2935,IKT,2937,,0,AN4
46,AL361,AL361,IKT,2937,BTK,2936,,0,A81
47,AL361,AL361,IKT,2937,HTA,2935,,0,AN4
49,AL361,AL361,IKT,2937,ODO,8944,,0,AN4
50,AL361,AL361,IKT,2937,OVB,4078,,0,A81
51,AL361,AL361,IKT,2937,UKX,6924,,0,AN4
52,AL361,AL361,IKT,2937,ULK,9026,,0,AN4
53,AL361,AL361,IKT,2937,YKS,2923,,0,A81
55,AL361,AL361,MJZ,2925,OVB,4078,,0,A81
56,AL361,AL361,ODO,8944,IKT,2937,,0,AN4
57,AL361,AL361,OVB,4078,BTK,2936,,0,A81
58,AL361,AL361,OVB,4078,CEK,2968,,0,A81
59,AL361,AL361,OVB,4078,IKT,2937,,0,A81
60,AL361,AL361,UKX,6924,IKT,2937,,0,AN4
61,AL361,AL361,ULK,9026,IKT,2937,,0,AN4
62,AL361,AL361,YKS,2923,IKT,2937,,0,A81
63,AL384,AL384,AYP,2786,LIM,2789,,0,142
64,AL384,AL384,CUZ,2812,LIM,2789,,0,142 141
65,AL384,AL384,CUZ,2812,PEM,2808,,0,142
66,AL384,AL384,HUU,6067,LIM,2789,,0,141
67,AL384,AL384,IQT,2801,PCL,2781,,0,143
68,AL384,AL384,IQT,2801,TPP,2806,,0,142
69,AL384,AL384,LIM,2789,AYP,2786,,0,142
70,AL384,AL384,LIM,2789,CUZ,2812,,0,142 141
71,AL384,AL384,LIM,2789,HUU,6067,,0,141
72,AL384,AL384,LIM,2789,PCL,2781,,0,143 146
73,AL384,AL384,LIM,2789,TPP,2806,,0,142 146
74,AL384,AL384,PCL,2781,IQT,2801,,0,143
75,AL384,AL384,PCL,2781,LIM,2789,,0,143 146
76,AL384,AL384,PCL,2781,TPP,2806,,0,146
77,AL384,AL384,PEM,2808,CUZ,2812,,0,142
78,AL384,AL384,TPP,2806,IQT,2801,,0,142
79,AL384,AL384,TPP,2806,LIM,2789,,0,142 146
80,AL384,AL384,TPP,2806,PCL,2781,,0,146
81,AL357,AL357,ABJ,253,BOY,247,,0,CRJ
82,AL357,AL357,ABJ,253,OUA,246,,0,E70 CRJ M87
83,AL357,AL357,ACC,248,OUA,246,,0,CRJ
84,AL357,AL357,BKO,1044,ABJ,253,,0,M87
85,AL357,AL357,BKO,1044,DKR,1084,,0,M87
86,AL357,AL357,BKO,1044,OUA,246,,0,CRJ
87,AL357,AL357,BOY,247,ABJ,253,,0,CRJ
88,AL357,AL357,BOY,247,OUA,246,,0,CRJ
89,AL357,AL357,COO,245,LFW,298,,0,M87
90,AL357,AL357,COO,245,OUA,246,,0,M87
91,AL357,AL357,DKR,1084,BKO,1044,,0,M87
92,AL357,AL357,DKR,1084,OUA,246,,0,M87
93,AL357,AL357,LFW,298,OUA,246,,0,M87 CRJ
94,AL357,AL357,NIM,280,OUA,246,,0,CRJ
